#Frame            fit       ligand
     246       2.5073       2.1590
     247       2.3558       2.1102
     248       2.4937       2.4609
     249       2.4241       2.2715
     250       2.9188       2.2755
     251       2.2852       2.4585
     252       2.7304       2.5525
     253       2.2642       2.1120
     254       2.3860       2.1843
     255       2.2374       2.0600
     256       2.7686       2.3893
     257       2.7254       2.2528
     258       2.4911       2.1634
     259       2.4376       2.2931
     260       2.5023       2.1912
     261       2.5851       2.4044
     262       2.8172       2.4012
     263       2.7644       2.9096
     264       2.9116       2.2388
     265       2.6586       2.2080
     266       2.2181       2.2224
     267       3.0581       2.4167
     268       2.8387       2.3021
     269       2.5394       2.5499
     270       2.4422       2.4643
     271       2.9472       2.6937
     272       3.6848       2.2944
     273       3.0735       2.3960
     274       2.8554       2.4819
     275       2.2522       2.1847
     276       2.5763       2.3321
     277       2.9438       2.1480
     278       2.5244       2.3152
     279       2.2693       2.0576
     280       2.2638       1.8377
     281       2.4518       2.2192
     282       2.3402       2.3785
     283       2.3716       2.5144
     284       2.3057       2.5938
     285       2.3937       2.5508
     286       2.2865       2.7457
     287       2.1703       2.2024
     288       2.4809       2.4677
     289       2.2927       2.7559
     290       2.3732       2.4434
     291       2.8017       3.4000
     292       2.4173       3.0000
     293       2.2114       2.6826
     294       2.0934       2.3931
     295       2.5815       2.4008
     296       2.1553       2.6707
     297       2.0955       2.2073
     298       3.0812       2.6139
     299       2.3745       2.7107
     300       2.3030       2.4500
     301       2.1333       3.1979
     302       2.1889       3.0509
     303       2.5322       2.5335
     304       2.1383       2.8417
     305       2.3368       2.6090
     306       2.3071       2.2801
     307       3.0176       2.3527
     308       2.4713       3.3612
     309       2.1447       2.2349
     310       2.3674       2.6291
     311       2.7813       3.2731
     312       2.2210       2.7248
     313       2.8277       2.5335
     314       2.5383       2.4023
     315       2.1948       2.3372
     316       2.2938       2.4419
     317       2.3532       2.3525
     318       2.2646       2.6631
     319       2.5675       2.7595
     320       2.3530       2.6353
     321       2.1441       3.1177
     322       2.2352       3.7889
     323       2.0924       2.6804
     324       2.1023       2.4975
     325       2.2245       2.4822
     326       2.0926       2.3126
     327       2.2660       2.2882
     328       2.2099       2.4416
     329       2.1218       2.4716
     330       2.0112       2.3435
     331       2.5375       2.5152
     332       2.2891       2.5590
     333       2.2056       2.5829
     334       2.1266       2.5887
     335       2.3597       2.6967
     336       2.1653       2.3936
     337       2.1747       2.3497
     338       2.2164       2.5928
     339       2.7171       2.7844
     340       2.5261       2.3218
     341       2.3864       2.6927
     342       2.5211       2.6349
     343       2.1397       2.6907
     344       2.4983       2.6928
     345       2.3391       2.4235
     346       2.5559       3.0289
     347       2.3006       2.2485
     348       2.7686       2.6885
     349       2.8537       2.6329
     350       2.8578       2.7395
     351       2.5983       2.3492
     352       2.7288       3.0065
     353       2.1639       2.7910
     354       2.4063       2.6618
     355       3.4055       2.6628
     356       2.7546       2.2512
     357       2.9150       3.3900
     358       2.9293       2.3483
     359       2.9860       2.2658
     360       2.3925       2.6510
     361       2.5868       3.2028
     362       2.8111       3.2490
     363       3.2701       2.8706
     364       2.9187       2.8090
     365       2.8694       2.8959
     366       2.6542       2.8873
     367       2.6313       2.4694
     368       3.0815       2.4551
     369       2.6820       3.2252
     370       3.1216       2.5326
     371       2.6522       3.5911
     372       3.7185       3.3947
     373       3.3388       3.4170
     374       2.8131       3.7758
     375       2.6952       3.2777
     376       3.6239       2.9892
     377       3.0486       3.4614
     378       3.0547       2.1761
     379       3.0372       1.5652
     380       3.2233       1.9433
     381       3.4332       2.3216
     382       2.4813       2.1062
     383       2.8401       1.8025
     384       2.8924       2.6318
     385       2.6848       1.5473
     386       2.5119       2.6719
     387       2.5726       3.5047
     388       2.6935       3.0808
     389       2.4137       3.3790
     390       2.5975       3.3364
     391       2.4953       3.3915
     392       2.5909       3.3233
     393       2.5283       2.7038
     394       2.5068       2.9114
     395       3.3114       6.2186
     396       3.5798       3.9422
     397       3.3502       7.2093
     398       3.4067       8.1255
     399       3.2154       6.9482
     400       2.6478       9.3826
     401       2.9556       8.8145
     402       3.0353       7.0259
     403       2.9711       7.7051
     404       3.0472       6.5952
     405       3.2353       7.6596
     406       2.8464       7.4299
     407       2.8332       6.6906
     408       3.1449       6.9865
     409       3.4035       8.7759
     410       3.8802       9.2240
     411       3.9001       9.4239
     412       3.1731      10.4239
     413       3.0685       9.9063
     414       2.9170       9.5319
     415       2.7022      10.0410
     416       2.9214       9.5690
     417       3.7657      12.3191
     418       3.0327      12.3212
     419       3.0163      16.8393
     420       3.0419      13.1151
     421       3.6540      15.2830
     422       3.1374      14.0358
     423       3.5117      13.5426
     424       3.6275      13.2604
     425       2.9589      18.5330
     426       3.1850      13.7469
     427       3.3551      14.7850
     428       3.3855      16.2093
     429       2.9115      32.6600
     430       3.0706      21.7915
     431       2.7952      44.3057
     432       2.8030      50.5453
     433       2.8224      40.8212
     434       2.9554      42.3376
     435       3.0614      49.6359
     436       3.3289      51.1904
     437       3.0056      52.9305
     438       2.9609      40.4118
     439       2.9098      30.7844
     440       3.8627      41.6596
     441       2.9908      42.1929
     442       3.4637      37.6463
     443       3.3775      40.6781
     444       2.9082      36.3808
     445       3.7223      48.5177
     446       3.4294      53.9911
     447       3.4470      31.7853
     448       3.5337      53.6441
     449       3.4363      53.4727
     450       3.5240      26.1836
     451       2.7159      25.9677
     452       3.7868      27.5897
     453       3.8892      32.1711
     454       3.6294      41.4766
     455       4.7190      44.7261
     456       3.6469      48.4341
     457       3.5504      58.1926
     458       2.6898      64.9007
     459       3.5262      39.7606
     460       3.3957      51.4895
     461       2.8051      47.5097
     462       2.9732      31.7188
     463       2.9436      46.9784
     464       4.0456      39.3379
     465       2.8219      40.6116
     466       4.0893      38.3230
     467       3.7464      41.8709
     468       3.7034      54.6167
     469       3.5393      52.5193
     470       4.0270      36.1419
     471       3.7572      41.4879
     472       3.4153      53.2153
     473       3.1550      43.3032
     474       2.6254      52.8382
     475       3.1373      60.3965
     476       2.3951      61.7593
     477       2.6661      63.6614
     478       3.1167      39.6078
     479       3.0087      36.3528
     480       3.2910      48.2353
     481       3.2268      56.8169
     482       3.7067      39.6543
     483       3.6587      52.2601
     484       3.4381      52.3373
     485       2.8949      54.9877
     486       2.8384      49.5284
     487       3.4713      35.3658
     488       2.7794      26.7530
     489       2.5251      42.1712
     490       2.5741      23.2117
     491       2.6410      31.1812
     492       2.4467      48.6805
     493       2.4548      32.0090
     494       2.6878      33.9969
     495       2.7086      38.5623
     496       3.3642      38.9814
     497       2.5442      40.9937
     498       2.2881      40.8109
     499       3.6147      46.1191
     500       3.0820      57.0805
     501       1.6418       2.1951
     502       1.6696       2.1578
     503       1.7925       2.1595
     504       2.0144       2.8762
     505       1.8002       2.2349
     506       1.8185       2.2828
     507       1.7641       2.1124
     508       1.8255       1.7224
     509       1.9573       1.6283
     510       1.6852       2.1540
     511       1.7442       2.4418
     512       1.9699       2.5793
     513       1.8507       2.8883
     514       1.9251       2.5750
     515       1.9200       2.8049
     516       1.9964       2.6074
     517       2.0700       2.6914
     518       2.0093       2.6305
     519       2.0169       2.4357
     520       2.0068       2.6122
     521       1.9319       3.3334
     522       1.9126       2.3490
     523       1.8664       3.0720
     524       1.9225       2.5006
     525       2.1283       2.5825
     526       1.9861       3.2597
     527       1.8008       2.6597
     528       1.9172       2.3947
     529       1.8687       2.7898
     530       1.9786       2.4167
     531       2.0993       2.7547
     532       2.0053       2.6371
     533       1.9098       2.4126
     534       1.8082       2.4639
