#Frame            fit       ligand
     246       1.7909       0.8441
     247       1.7264       1.2357
     248       1.6935       0.9855
     249       1.7270       1.1047
     250       1.7109       0.9652
     251       1.7132       0.9459
     252       1.6102       1.1722
     253       1.6515       0.9997
     254       1.7806       1.0936
     255       1.6525       1.0376
     256       1.7687       1.0634
     257       1.7050       1.0726
     258       1.5906       0.9651
     259       1.7212       1.2737
     260       1.9192       0.9995
     261       1.9655       1.1329
     262       1.8943       1.4272
     263       1.8527       1.0659
     264       1.9089       0.8964
     265       1.9409       0.9398
     266       1.7615       1.0459
     267       1.7863       1.1882
     268       1.6440       1.1087
     269       1.7778       1.1281
     270       1.7058       0.9578
     271       1.7785       1.4413
     272       1.7710       1.0973
     273       1.6848       1.1274
     274       1.6701       1.0278
     275       1.7967       1.0210
     276       1.7666       0.8573
     277       1.8464       0.9957
     278       1.8151       1.0041
     279       1.8106       0.9987
     280       1.6951       1.0887
     281       1.9850       1.0733
     282       1.8752       0.9631
     283       1.8964       1.3164
     284       1.8702       0.9138
     285       1.9055       1.0837
     286       1.9251       1.2453
     287       2.2165       1.6571
     288       1.9061       1.5427
     289       2.0107       1.0045
     290       1.8627       1.2110
     291       1.8143       1.4021
     292       1.7095       1.4397
     293       2.0232       1.3596
     294       1.9255       1.3092
     295       1.8735       0.7354
     296       1.7820       1.5261
     297       2.2411       1.4279
     298       1.8915       1.5127
     299       1.9358       1.5762
     300       1.8939       1.5243
     301       1.7886       1.3791
     302       1.8960       1.4203
     303       1.8574       1.4403
     304       1.8779       1.2186
     305       1.9112       1.2309
     306       1.9934       1.3709
     307       1.6859       1.5412
     308       1.6513       1.2444
     309       1.7275       1.3985
     310       1.6206       1.7240
     311       1.7168       1.1968
     312       1.7219       1.4989
     313       1.6710       1.3398
     314       1.7126       1.2178
     315       1.8727       1.2227
     316       1.6921       1.3092
     317       1.6931       1.5280
     318       1.8301       1.3976
     319       1.7039       1.3496
     320       1.8565       1.4850
     321       1.8807       1.2988
     322       1.7315       1.3805
     323       1.9422       1.5312
     324       1.9295       1.4700
     325       1.9468       1.2128
     326       1.7225       1.3228
     327       1.8177       1.4057
     328       1.8710       1.5661
     329       1.9289       1.3828
     330       1.8198       1.4338
     331       1.8729       1.3825
     332       1.8236       1.1990
     333       1.9432       1.5792
     334       1.6917       1.3092
     335       1.8116       1.4123
     336       1.7684       1.4272
     337       1.9038       1.2381
     338       1.8785       1.2206
     339       1.8893       1.2443
     340       1.7681       1.3681
     341       1.6992       1.5288
     342       1.6657       1.4697
     343       1.7793       1.2454
     344       1.8914       1.3784
     345       1.8413       1.5551
     346       1.9241       1.3778
     347       1.8204       1.3320
     348       1.7661       1.1460
     349       1.7848       1.3277
     350       1.9291       1.4340
     351       1.8578       1.3044
     352       2.0348       1.1298
     353       1.9294       1.3241
     354       2.0169       1.3039
     355       1.7389       1.1879
     356       1.8818       1.4205
     357       1.7457       1.1940
     358       1.7055       1.3523
     359       1.8452       1.2353
     360       1.7775       1.5894
     361       1.7507       1.2058
     362       1.7977       1.2738
     363       1.7568       1.4980
     364       1.7131       1.3187
     365       1.7394       1.2766
     366       1.7594       1.4065
     367       1.9761       1.2894
     368       1.9570       1.2674
     369       1.8908       1.1090
     370       1.9060       1.1148
     371       1.9424       1.2844
     372       1.6234       1.2729
