#Frame          phi:2        psi:2
     224    -142.1480     -98.5422
     225     -68.1790     151.5124
     226     -64.5513     142.7945
     227     -51.1130     135.9843
     228     -63.2046     126.7517
     229     -51.2955     143.3781
     230     -82.3411     147.1639
     231    -174.5528     143.4667
     232     -76.9408      76.7698
     233     -60.8895     157.6557
     234    -126.1599     -12.7446
     235     -61.1474     159.6377
     236    -103.2225      -0.9521
     237     -45.9788     153.9028
     238    -155.0703     165.0524
     239     -66.4424      32.1953
     240     -69.6444     131.5457
     241     -96.6092      45.1490
     242     -50.5171     149.3057
     243     -57.0040     -33.4035
     244     -75.1198      87.1467
     245     -64.0319     -19.2986
     246     -58.2586     126.0529
     247    -164.8984     163.3303
     248    -150.4212     161.3946
     249     -89.2647    -172.9455
     250     -56.6803     150.3312
     251     -61.9355     -21.5334
     252    -136.6965     138.8355
     253     -63.9320     164.0674
     254     -81.1944     -25.3176
     255    -159.1151     132.2188
     256     -64.1935     177.3207
     257    -159.5244     138.5398
     258     -66.2198     -37.8705
     259    -100.5899    -105.5311
     260     -76.1270     150.5648
     261     -63.2949     143.5544
     262     -52.1014     -42.8939
     263     -61.2896     111.9004
     264     -77.2776     148.2187
     265    -149.5098    -175.0333
     266     -75.6383     119.0453
     267     -63.0504     108.3840
     268    -149.9927      71.0045
     269     -71.6275     -42.8291
     270    -162.1862    -156.1016
     271     -64.8275     139.1706
     272     -58.4023     151.1502
     273     -74.3584     156.3214
     274     -74.0491      81.4032
     275     -84.5053     -28.8538
     276     -69.3388      93.3135
     277     -62.1269     121.8702
     278     -44.4326     135.4667
     279     -87.7864     -19.7771
     280     -70.5585     143.0016
     281     -53.8782     140.2492
     282     -49.3329     143.3647
     283    -116.2097     127.2748
     284     -73.1353     176.9136
     285    -154.2686     136.3483
     286     -79.2004     150.7584
     287     -62.8476     174.8105
     288     -74.6191     -19.0437
     289     -61.2468     -23.0290
     290     -98.5472     129.5468
     291    -130.9329     113.2058
     292     -92.0394      14.0415
     293    -152.0687     173.2543
     294     -43.4442     147.4510
     295     -86.7837      71.6112
     296    -154.3752      -0.7683
     297     -76.7222     -21.7763
     298     -83.7636     149.1752
     299     -76.4155     -32.1218
     300     -26.9274     -56.3388
     301     -65.2183     142.2984
     302     -73.5980     -22.4253
     303     -66.4912     154.8901
     304     -80.2665     107.1152
     305     -51.5218     144.2854
     306    -144.7127      28.1360
     307     -49.6872     -51.6973
     308     -58.3054     131.3324
     309     -62.4574     170.3310
     310     -62.6316     -37.4464
     311     -42.1898     123.5976
     312     -87.7997     -13.2752
     313     -96.9924     -23.5377
     314     -72.0137     -49.1759
     315     -74.5375     111.3102
     316     -59.8402     156.5624
     317     -61.9363     159.4175
     318     -69.7452     107.5871
     319    -111.6764      43.6981
     320     -80.1175     128.0776
     321     -68.6840     155.3636
     322     -54.5503     146.3210
     323     -65.2976     -45.7412
     324    -164.5045     102.5741
     325      51.4338      45.4525
     326      77.1564      28.7421
     327      63.0259      36.3521
     328      43.1228    -126.9467
     329      67.8665      25.0535
     330      55.2916      45.3565
     331      69.8017     -60.4528
     332      47.1586      55.4698
     333      49.3146      36.6391
     334      66.0640      18.3926
     335      59.1164      51.4458
     336      73.5135       8.1794
     337      50.5114      76.3850
     338     -57.8114     149.0384
     339     174.3114     143.1844
     340     -80.8054      -5.5992
     341     -65.5582     150.8882
     342     -70.0361     -20.7477
     343     -68.0034     115.0424
     344     -58.6714     149.0372
     345     -75.0290      -6.9063
     346     -69.1587     137.9227
     347     -38.4683     156.4649
     348     -68.2293     -18.0682
     349     -60.3460     148.0131
     350     -74.5704     110.1010
     351    -132.6435     130.4168
     352     -98.1487       7.1461
     353     -82.0752       1.6626
     354     -58.8523     137.1173
     355    -101.5417     172.6840
     356     -38.7390     129.2927
     357    -104.8767     140.6719
     358    -107.5586    -154.6274
